X;Y;Formation affleurante;TOPO;Toit_LATE;Epaisseur_LATE;Base_LATE;Toit_ASUP;Epaisseur_ASUP;Base_ASUP;Toit_CARB;Epaisseur_CARB;Base_CARB;Toit_AINF
2252363,75;324591,25;Laterites;53,2953796387;53,2953796387;3,6122016907;49,683177948;49,683177948;14,370891571;35,312286377;;;;35,312286377
2252366,25;324591,25;Laterites;53,1950531006;53,1950531006;3,5948562622;49,6001968384;49,6001968384;14,3194961548;35,2807006836;;;;35,2807006836
2252368,75;324591,25;Laterites;53,0825538635;53,0825538635;3,5687484741;49,5138053894;49,5138053894;14,2699661255;35,2438392639;;;;35,2438392639
2252371,25;324591,25;Laterites;52,9701080322;52,9701080322;3,5461196899;49,4239883423;49,4239883423;14,2227020264;35,2012863159;;;;35,2012863159
2252373,75;324591,25;Laterites;52,8366012573;52,8366012573;3,505821228;49,3307800293;49,3307800293;14,1781654358;35,1526145935;;;;35,1526145935
2252376,25;324591,25;Laterites;52,6933746338;52,6933746338;3,4591140747;49,2342605591;49,2342605591;14,1367797852;35,0974807739;;;;35,0974807739
2252378,75;324591,25;Laterites;52,5378265381;52,5378265381;3,4032707214;49,1345558167;49,1345558167;14,0989189148;35,0356369019;;;;35,0356369019
2252381,25;324591,25;Laterites;52,3821754456;52,3821754456;3,350315094;49,0318603516;49,0318603516;14,0649909973;34,9668693542;;;;34,9668693542
2252383,75;324591,25;Laterites;52,2196655273;52,2196655273;3,2663002014;48,9533653259;48,9533653259;14,0622253418;34,8911399841;;;;34,8911399841
2252386,25;324591,25;Laterites;52,0491447449;52,0491447449;3,2047119141;48,8444328308;48,8444328308;14,0359611511;34,8084716797;;;;34,8084716797
2252388,75;324591,25;Laterites;51,870967865;51,870967865;3,1374206543;48,7335472107;48,7335472107;14,0145072937;34,719039917;;;;34,719039917
2252391,25;324591,25;Laterites;51,6802139282;51,6802139282;3,0590133667;48,6212005615;48,6212005615;13,9980545044;34,6231460571;;;;34,6231460571
2252393,75;324591,25;Laterites;51,4908561707;51,4908561707;2,9829063416;48,5079498291;48,5079498291;13,9867248535;34,5212249756;;;;34,5212249756
2252396,25;324591,25;Laterites;51,290145874;51,290145874;2,8957138062;48,3944320679;48,3944320679;13,980632782;34,4137992859;;;;34,4137992859
2252398,75;324591,25;Laterites;51,0850296021;51,0850296021;2,8036956787;48,2813339233;48,2813339233;13,9798126221;34,3015213013;;;;34,3015213013
2252401,25;324591,25;Laterites;50,8729438782;50,8729438782;2,703540802;48,1694030762;48,1694030762;13,8433837891;34,3260192871;34,3260192871;0,1409339905;34,1850852966;34,1850852966
2252403,75;324591,25;Laterites;50,6550979614;50,6550979614;2,5969390869;48,0581588745;48,0581588745;13,6078605652;34,4502983093;34,4502983093;0,3850288391;34,0652694702;34,0652694702
2252406,25;324591,25;Laterites;50,4368095398;50,4368095398;2,4857788086;47,9510307312;47,9510307312;13,3694190979;34,5816116333;34,5816116333;0,6387329102;33,9428787231;33,9428787231
2252408,75;324591,25;Laterites;50,2131690979;50,2131690979;2,3657035828;47,8474655151;47,8474655151;13,1272926331;34,7201728821;34,7201728821;0,9014434814;33,8187294006;33,8187294006
2252411,25;324591,25;Laterites;49,9743728638;49,9743728638;2,2260856628;47,7482872009;47,7482872009;12,8820495605;34,8662376404;34,8662376404;1,1726112366;33,6936264038;33,6936264038
2252413,75;324591,25;Laterites;49,749004364;49,749004364;2,0947189331;47,6542854309;47,6542854309;12,634262085;35,0200233459;35,0200233459;1,4516601563;33,5683631897;33,5683631897
2252416,25;324591,25;Laterites;49,5299491882;49,5299491882;1,963722229;47,5662269592;47,5662269592;12,3845481873;35,181678772;35,181678772;1,7380142212;33,4436645508;33,4436645508
2252418,75;324591,25;Laterites;49,3069648743;49,3069648743;1,8221359253;47,484828949;47,484828949;12,1334915161;35,3513374329;35,3513374329;2,0311317444;33,3202056885;33,3202056885
2252421,25;324591,25;Laterites;49,0971717834;49,0971717834;1,6864509583;47,4107208252;47,4107208252;11,8816680908;35,5290527344;35,5290527344;2,3304672241;33,1985855103;33,1985855103
2252423,75;324591,25;Laterites;48,9037780762;48,9037780762;1,5593299866;47,3444480896;47,3444480896;11,6296730042;35,7147750854;35,7147750854;2,6354827881;33,0792922974;33,0792922974
